YEAR JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC JF MAM JJAS OND ANN
1962 162 239 112 1232 2064 4086 2939 3771 1662 1271 20 16 401 3408 12457 1307 17574
1963 22 44 436 1305 2248 4379 4049 3660 2345 1741 177 28 66 3989 14433 1946 20434
1964 56 182 494 1820 2143 3624 4841 2691 2999 2057 192 53 238 4457 14155 2302 21152
1965 21 551 544 835 1906 4215 3795 3654 2506 979 308 159 572 3285 14170 1445 19473
1966 235 60 162 822 2170 5012 3742 4010 2636 1529 387 245 295 3154 15400 2161 21010
1967 301 252 982 1158 1787 2921 3694 2823 3277 1061 96 16 553 3927 12715 1173 18368
1968 147 203 560 971 2104 4417 5155 3949 1871 1339 298 9 350 3635 15392 1645 21022
1969 113 17 688 1385 1740 3937 3773 3889 2095 815 270 21 130 3813 13694 1106 18743
1970 400 350 577 1145 1957 4293 4416 3034 3173 2351 474 13 750 3679 14916 2838 22183
1971 159 155 251 1913 2017 3599 3840 3938 2358 2046 783 27 314 4181 13735 2856 21085
1972 65 309 404 1261 1896 3552 3294 3174 2052 661 70 12 374 3561 12072 742 16749
1973 90 486 399 1473 2746 4635 2973 3174 3335 1718 840 654 576 4618 14117 3212 22522
1974 160 27 821 1387 2162 3669 6463 3949 2872 1782 281 15 187 4370 16953 2078 23588
1975 75 211 180 1050 2128 2611 4647 2719 2795 1589 493 8 286 3358 12772 2090 18506
1976 67 373 855 1446 1695 4281 4328 3186 1729 547 164 46 440 3996 13524 757 18717
1977 85 202 377 2821 2616 3929 4222 3824 1873 1436 451 286 287 5814 13848 2173 22122
1978 18 102 403 919 2265 3590 3272 2942 3505 923 340 19 120 3587 13309 1282 18298
1979 66 149 449 713 1104 2627 4768 2514 3559 1280 236 356 215 2266 13468 1872 17821
1980 74 306 837 1111 2664 3158 3892 2997 2095 1892 2 12 380 4612 12142 1905 19039
1981 266 351 772 1642 2702 2392 4602 3109 2148 328 53 389 617 5116 12251 770 18754
1982 15 377 519 1959 1146 3359 3264 3357 2249 416 355 66 392 3624 12229 837 17082
1983 175 369 973 1597 2038 2794 4064 3404 3021 1991 121 275 544 4608 13282 2387 20822
1984 138 42 95 1078 2682 4152 4238 3289 3160 1201 37 143 180 3855 14839 1380 20255
1985 58 292 696 1221 2264 3860 3936 2752 2540 752 102 82 350 4181 13088 935 18554
1986 77 115 204 1950 1604 2802 3394 2914 3337 2448 775 83 192 3758 12447 3305 19703
1987 63 205 789 1440 1335 3249 4647 4108 3903 765 339 59 268 3564 15907 1163 20902
1988 49 281 723 965 3264 3606 4990 5099 2731 1878 1363 95 330 4952 16426 3336 25044
1989 68 323 251 1206 2180 3479 5594 2763 3605 2313 121 94 391 3637 15441 2528 21997
1990 43 467 984 2139 2297 3554 3900 2566 3107 1758 367 62 510 5420 13127 2187 21244
1991 165 196 539 1263 3396 4049 4416 3331 3901 2150 155 607 361 5198 15697 2912 24168
1992 107 444 330 761 2207 3272 4319 2902 2659 1264 107 112 551 3298 13152 1483 18484
1993 320 862 682 1468 2741 4749 4861 4154 3394 1113 178 10 1182 4891 17158 1301 24532
1994 188 494 1235 1493 1939 3814 2985 3433 1733 1192 132 96 682 4667 11965 1420 18734
1995 121 347 304 786 2399 3672 3810 3856 3587 927 1133 43 468 3489 14925 2103 20985
1996 134 237 941 736 2849 3081 3887 3863 2240 2000 58 1 371 4526 13071 2059 20027
1997 162 305 749 1256 1845 3689 4822 3157 3231 330 151 330 467 3850 14899 811 20027
1998 236 341 1345 1374 2078 3162 4348 4139 2386 1639 499 0 577 4797 14035 2138 21546
1999 8 1 237 618 3259 3342 4814 4025 2899 2183 88 16 9 4114 15080 2287 21490
2000 160 201 595 1718 3157 3991 2928 3811 3168 1269 104 4 361 5470 13898 1377 21105
2001 28 458 266 1091 2491 4110 3403 2521 2621 2255 244 11 486 3848 12655 2510 19499
2002 254 47 580 1839 2179 3816 4748 3126 2462 722 638 27 301 4598 14152 1387 20438
2003 51 310 687 1237 1672 4284 3770 2592 2184 2333 70 241 361 3595 12830 2644 19431
2004 92 97 318 2478 2320 3472 4951 2738 2519 2685 57 31 189 5116 13680 2773 21758
2005 179 270 1199 1178 2043 2614 3444 3768 2094 2529 73 58 449 4420 11920 2659 19449
2006 2 276 122 1128 2716 3121 3465 2494 2743 785 215 65 278 3966 11823 1065 17132
2007 9 751 333 1916 1808 3542 5533 3279 3786 1412 563 25 760 4057 16140 2000 22957
2008 476 123 726 1056 1972 3934 3920 3671 2253 1208 29 1 599 3754 13778 1238 19369
2009 38 81 360 710 2174 2334 3543 3948 2179 1410 138 18 119 3244 12003 1566 16933
2010 24 66 680 2086 2819 3926 3081 3028 2672 1317 100 227 90 5585 12707 1644 20025
2011 79 84 632 867 2238 3702 3027 3394 2454 407 77 26 163 3737 12577 510 16987
2012 186 70 226 1450 1278 4192 3786 2397 2848 1306 316 68 256 2954 13223 1690 18123
2013 8 116 307 1103 3392 2810 3212 3316 2571 1930 9 8 124 4802 11909 1947 18782
2014 12 309 250 367 2312 3058 2875 3783 3041 438 22 2 321 2929 12757 462 16469
2015 137 129 309 2014 2085 3826 3702 4104 2387 593 82 90 266 4408 14019 765 19458
2016 142 275 530 1845 2408 2936 3700 2655 2601 1054 396 28 417 4783 11892 1478 18570
